AffymetrixID,AGI,L1P(-)normalized,L1P(-)rawvalue,L1P(-)flags,L2P(+)normalized,L2P(+)rawvalue,L2P(+)flags,L3P(-)normalized,L3P(-)rawvalue,L3P(-)flags,L4P(+)normalized,L4P(+)rawvalue,L4P(+)flagsvalue,L5P(-)normalized,L5P(-)rawvalue,L5P(-)flags,L6P(+)normalized,L6P(+)rawvalue,L6P(+)flags,meanRatioP(-)/P(+)
247541_at,At5g61660,1.754,526.4,P,0.491,113.7,P,1.34,214.7,P,0.66,130.5,P,2.969,1351.400,P,0.655,339.2,P,3.37847629448195
250207_at,At5g13930,1.369,3519.300,P,0.45,891.2,P,1.836,2520.100,P,0.631,1068.6,P,1.771,6906.3,P,0.425,1883.2,P,3.37298274689344
266075_s_at,At2g40710,1.5,1225.6,P,0.5,315.1,P,1.594,695.5,P,0.494,265.7,P,1.903,2358.2,P,0.493,694.6,P,3.36225373857487
252619_at,At3g45210,1.446,352.6,P,0.554,104.2,P,1.488,193.7,P,0.454,73,P,1.67,617.7,P,0.398,167.5,P,3.36120708079805
251644_at,At3g57540,1.69,49,P,0.537,12,A,1.428,22.1,P,0.497,9.5,A,2.301,101.2,P,0.572,28.6,P,3.34769343446265
245463_at,At4g17030,1.853,325.6,P,0.609,82.5,P,1.37,128.6,P,0.63,72.9,P,2.364,630.4,P,0.497,150.6,P,3.32461178308677
250500_at,At5g09530,1.792,249.9,P,0.79,85,P,1.21,90.1,P,0.506,46.5,P,1.586,335.5,P,0.3,72.2,P,3.3154418149575
251259_at,At3g62260,1.282,230.9,P,0.279,38.7,P,1.429,137.4,P,0.474,56.2,P,1.628,444.6,P,0.718,222.9,P,3.29238649403153
247469_at,At5g62165,1.626,18.8,M,0.505,4.5,A,1.409,8.7,P,0.315,2.4,A,1.368,24,P,0.632,12.6,A,3.28579160507974
259418_at,At1g02390,1.826,72.7,P,0.583,17.9,P,1.388,29.5,P,0.61,16,P,2.653,160.2,P,0.612,42,P,3.24748420934171
264010_at,At2g21100,2.129,65.6,P,0.644,15.3,P,1.969,32.4,P,0.557,11.3,A,1.356,63.4,P,0.474,25.2,A,3.23388969714986
258809_at,At3g04070,2.237,384.1,P,0.859,113.7,P,1.141,104.6,P,0.393,44.4,P,2.769,721.2,P,0.663,196.4,P,3.22798979865002
250670_at,At5g06860,1.695,1177,P,0.612,327.7,P,1.388,514.4,P,0.515,235.5,P,2.371,2496.5,P,0.57,682.7,P,3.20813419900408
251531_at,At3g58550,2.127,437.1,P,0.692,109.6,P,1.362,149.4,P,0.524,71,P,1.308,407.8,P,0.334,118.5,P,3.19636790928578
266118_at,At2g02130,1.45,1687.6,P,0.46,412.6,P,1.965,1221.1,P,0.55,421.8,P,1.478,2608.800,P,0.541,1086.2,P,3.15229300154157
254818_at,At4g12470,1.267,2371.5,P,0.424,612.8,P,1.589,1588.2,P,0.46,567.2,P,2.201,6251.700,P,0.733,2367.800,P,3.1484279620724
249011_at,At5g44670,1.425,262.6,P,0.477,67.8,P,1.542,151.7,P,0.575,69.8,P,1.895,529.8,P,0.502,159.6,P,3.14802030416299
263845_at,At2g37040,1.661,1014.8,P,0.442,208.2,P,1.883,614.2,P,0.652,262.3,P,1.348,1249.800,P,0.482,508.4,P,3.14754528659249
256593_at,At3g28510,2.146,30.1,P,0.675,7.3,A,1.936,14.5,P,0.617,5.7,A,1.325,28.2,P,0.426,10.3,A,3.14245042296921
247287_at,At5g64230,1.808,90.6,P,0.536,20.7,P,1.365,36.5,P,0.627,20.7,P,2.446,185.9,P,0.635,54.9,P,3.13404544170606
255595_at,At4g01700,1.512,205.1,P,0.719,75.2,P,1.281,92.8,P,0.46,41.1,P,1.742,358.4,P,0.386,90.4,P,3.133552233266
257217_at,At3g14940,2.179,524.7,P,0.732,135.9,P,1.268,163,P,0.62,98.3,P,1.542,563.3,P,0.354,147.1,P,3.12595648333219
251493_at,At3g59300,1.373,234.2,P,0.448,58.9,P,1.562,142.3,P,0.488,54.9,P,1.946,503.7,P,0.627,184.5,P,3.12307335885043
245889_at,At5g09480,2.407,94.4,P,0.8,24.2,P,1.499,31.4,P,0.526,13.6,P,1.2,71.4,P,0.347,23.5,P,3.1055910474719
254508_at,At4g20170,1.385,241.6,P,0.371,49.9,P,1.464,136.3,P,0.601,69.1,P,1.935,511.9,P,0.615,185,P,3.10514506735409
250537_at,At5g08565,1.593,114.1,P,0.532,29.4,A,1.726,66,P,0.557,26.3,A,1.443,156.7,P,0.449,55.5,A,3.10230421100393
256256_at,At3g11230,1.687,321.4,P,0.566,83.2,P,1.546,157.3,P,0.433,54.4,P,1.434,414.5,P,0.529,174,P,3.08725973911998
262811_at,At1g11700,1.358,110.1,P,0.573,35.8,P,1.374,59.5,P,0.305,16.3,P,1.529,188.1,P,0.642,89.8,P,3.08550683949154
248429_at,At5g51770,1.791,94.2,P,0.55,22.3,P,1.314,36.9,P,0.58,20.1,A,2.552,203.6,P,0.686,62.2,A,3.08066583193958
259980_at,At1g76520,1.502,1267.900,P,0.454,295.3,P,1.35,608.5,P,0.513,285.5,P,2.14,2740.7,P,0.65,945.8,P,3.07741889457633
251065_at,At5g01870,2.425,317.8,P,0.71,71.8,P,1.905,133.3,P,0.567,49,P,1.29,256.4,P,0.531,120,P,3.06821994953609
248485_at,At5g51050,1.692,255.9,P,0.517,60.3,P,1.455,117.5,P,0.525,52.3,P,1.713,393.1,P,0.545,142.2,P,3.06242503673696
246228_at,At4g36430,2.91,299.4,P,0.82,65.1,P,2.277,125.1,P,0.829,56.2,P,1.171,182.8,P,0.407,72.3,P,3.05753770508544
264525_at,At1g10060,1.714,226.8,P,0.544,55.5,P,1.439,101.6,P,0.48,41.8,M,1.653,331.7,P,0.561,128.1,P,3.03172534165181
257194_at,At3g13110,1.411,1947.900,P,0.456,485.9,P,1.628,1199.900,P,0.558,507.4,P,1.816,3803.4,P,0.589,1401.800,P,3.03168427340753
267545_at,At2g32690,1.764,158.8,P,0.542,37.6,P,1.363,65.5,P,0.445,26.4,P,1.761,240.5,P,0.637,98.9,P,3.02735169584423
257174_at,At3g27190,1.763,342,P,0.599,89.6,P,1.401,145.1,P,0.512,65.4,P,1.623,477.6,P,0.481,160.9,P,3.01792907681302
264318_at,At1g04220,1.374,47,P,0.664,17.5,A,1.336,24.4,P,0.506,11.4,A,2.485,128.9,P,0.593,35,A,2.96671660212627
264026_at,At2g21060,1.821,163.3,P,0.549,38,P,1.255,60.1,P,0.399,23.6,P,1.815,246.9,P,0.745,115.2,P,2.96618163665665
261933_at,At1g22410,1.405,2000.2,P,0.495,543.2,P,1.683,1279.400,P,0.595,558.4,P,1.723,3721.4,P,0.536,1315.900,P,2.96050250192041
254231_at,At4g23810,1.208,162,P,0.306,31.6,P,1.737,124.4,P,0.792,70,P,1.322,268.9,P,0.488,112.9,P,2.94997020997503
247447_at,At5g62730,1.671,95.3,P,0.634,27.9,P,1.366,41.6,P,0.431,16.2,P,1.688,146.1,P,0.56,55.1,P,2.93976865062229
256093_at,At1g20823,1.396,337.5,P,0.359,66.9,P,1.388,179.2,P,0.612,97.5,P,1.529,560.9,P,0.607,253.3,P,2.89183295922089
255259_at,At4g05020,1.448,180.3,P,0.475,45.6,P,1.309,87,P,0.597,49,P,2.364,446.5,P,0.691,148.4,P,2.88739322240641
252400_at,At3g48020,1.948,122.6,P,0.797,38.7,P,1.203,40.4,P,0.591,24.5,M,2.429,231.9,P,0.583,63.3,P,2.88202646834173
250400_at,At5g10740,2.038,239.7,P,0.611,55.4,P,1.33,83.5,P,0.641,49.7,P,2.161,385.5,P,0.67,135.9,P,2.87859055930989
265246_at,At2g43050,1.528,49.1,P,0.501,12.4,A,1.394,23.9,P,0.595,12.6,A,1.919,93.5,P,0.606,33.6,A,2.85314133637487
250950_at,At5g03540,1.44,556.5,P,0.515,153.5,P,1.591,328.3,P,0.56,142.5,P,1.597,936.2,P,0.555,369.8,P,2.83822180363442
256156_at,At3g08510,1.486,1125.400,P,0.499,291.6,P,1.406,568.4,P,0.525,261.8,P,1.689,1939.400,P,0.594,775.4,P,2.83316183111774
255724_at,At4g00010,1.452,61,P,0.509,16.5,A,1.346,30.2,P,0.654,18.1,A,1.481,94.4,P,0.415,30.1,P,2.82647697788746
253994_at,At4g26080,1.877,420.7,P,0.576,99.5,P,1.343,160.7,P,0.605,89.3,P,1.948,662.3,P,0.657,253.9,P,2.81450255198309
256008_s_at,At1g34040,1.862,43.9,P,0.621,11.3,P,1.152,14.5,P,0.508,7.9,P,2.672,95.6,P,0.848,34.5,P,2.80568320856712
254975_at,At4g10500,2.548,68.7,P,0.798,16.6,A,1.202,17.3,P,0.501,8.9,A,1.653,67.6,P,0.591,27.5,A,2.79637945588918
264587_at,At1g05200,1.886,86.3,P,0.592,20.9,A,1.122,27.4,P,0.511,15.4,A,2.63,182.5,P,0.878,69.3,P,2.79231657279914
252470_at,At3g46930,1.118,30.8,P,0.353,7.5,A,1.795,26.4,P,0.727,13.2,M,2.386,99.7,P,0.882,41.9,P,2.78046837459491
252011_at,At3g52720,1.34,788.9,P,0.538,244.5,P,1.664,523,P,0.66,256.2,P,1.823,1628.6,P,0.548,557,P,2.77952025889372
248144_at,At5g54800,1.431,330.4,P,0.527,93.8,P,1.481,182.5,P,0.541,82.3,P,1.618,566.5,P,0.569,226.5,P,2.76549278719804
263491_at,At2g42600,1.692,2416.4,P,0.552,608.1,P,1.95,1486.6,P,0.768,722.7,P,1.232,2669.4,P,0.464,1142.300,P,2.75315076836582
265772_at,At2g48010,1.738,164.8,P,0.71,51.9,P,1.29,65.3,P,0.445,27.8,P,1.912,275,P,0.661,108.1,P,2.74645023928268
253024_at,At4g38080,1.697,179.3,P,0.828,67.5,P,1.172,66.1,P,0.567,39.5,P,1.648,264.2,P,0.4,72.9,P,2.7455121028551
266965_at,At2g39510,1.47,101.2,P,0.578,30.7,P,1.763,64.8,P,0.631,28.6,P,1.369,143,P,0.477,56.6,P,2.73575045750385
258151_at,At3g18080,1.34,1665.7,P,0.412,394.8,P,1.371,909.9,P,0.66,540.9,P,1.86,3508.300,P,0.659,1412,P,2.71738606061499
252652_at,At3g44720,1.459,201.1,P,0.359,38.2,A,1.222,89.9,P,0.592,53.8,A,1.574,329.1,P,0.778,185,P,2.71713076278117
266359_at,At2g32260,1.542,298.8,P,0.602,90,P,1.398,144.6,P,0.511,65.3,P,1.639,481.7,P,0.575,192.2,P,2.71590290323368
258565_at,At3g04350,1.602,377.4,P,0.612,111.2,P,1.49,187.4,P,0.474,73.6,P,1.388,495.9,P,0.589,239.4,P,2.70588115899401
257122_at,At3g20250,1.598,266.2,P,0.53,68.1,P,1.217,108.3,P,0.464,50.9,P,1.913,483.5,P,0.783,224.9,P,2.69370215748171
255689_at,At4g00670,2.108,23.8,P,0.632,5.5,A,1.708,10.3,P,0.632,4.7,A,1.109,19,P,0.555,10.8,P,2.67872429391417
262882_at,At1g64900,1.219,147.8,P,0.482,45.1,P,1.569,101.6,P,0.509,40.7,P,1.818,334.5,P,0.781,163.4,P,2.64644842303092
251200_at,At3g63010,1.802,79.2,P,0.87,29.5,P,1.13,26.5,P,0.408,11.8,P,2.469,164.6,P,0.797,60.4,P,2.64624640406935
259081_at,At3g05030,1.44,112.7,P,0.472,28.5,P,1.341,56,P,0.659,34,P,1.842,218.6,P,0.648,87.4,P,2.64278047197511
257610_at,At3g13810,1.56,79.5,P,0.776,30.5,P,1.224,33.3,P,0.459,15.4,A,1.7,131.4,P,0.528,46.4,P,2.63222430490472
267315_at,At2g34720,1.599,459.9,P,0.574,127.3,P,1.765,270.9,P,0.728,137.9,P,1.272,554.9,P,0.482,239,P,2.61638966151414
248799_at,At5g47230,1.306,235.5,P,0.382,53.2,P,1.683,162.1,P,0.789,93.8,P,1.211,331.3,P,0.537,167.2,P,2.60234968609285
247304_at,At5g63850,1.462,586.2,P,0.517,160,P,1.417,303.4,P,0.527,139.3,P,1.392,847.1,P,0.608,420.2,P,2.602043745452
248243_at,At5g53590,1.429,145,P,0.521,40.8,P,1.372,74.3,P,0.628,42,P,1.784,274.6,P,0.624,109.1,P,2.5954966793445
251790_at,At3g55470,1.535,168,P,0.601,50.7,P,1.174,68.6,P,0.399,28.8,P,1.878,311.9,P,0.826,156,P,2.59001339233661
245486_x_at,At4g16240,1.248,57.6,P,0.444,15.8,A,1.542,38,P,0.575,17.5,A,1.709,119.7,P,0.752,59.9,A,2.58838544140811
253980_at,At4g26620,1.687,458.5,P,0.57,119.4,P,1.401,203.2,P,0.599,107.3,P,1.422,586.3,P,0.587,275.1,P,2.57367816986056
257798_at,At3g15950,1.959,250.2,P,0.644,63.4,P,1.336,91.1,P,0.664,55.9,P,1.753,339.6,P,0.66,145.4,P,2.57001142155673
248888_at,At5g46240,1.259,93.8,P,0.611,35.1,P,1.513,60.2,P,0.741,36.4,P,2.369,267.8,P,0.657,84.4,P,2.56939189616482
264583_at,At1g05170,1.678,60.4,P,0.648,18,A,1.473,28.3,P,0.599,14.2,A,1.352,73.8,P,0.509,31.6,A,2.5682644251478
258604_at,At3g02980,1.627,81.8,P,0.647,25.1,A,1.308,35.1,P,0.501,16.6,P,1.761,134.3,P,0.692,60,P,2.55675309466298
253922_at,At4g26850,1.332,1484.1,P,0.525,451.4,P,2.008,1194.7,P,0.668,490.6,P,1.351,2283.4,P,0.649,1247,P,2.5415983265694
249010_at,At5g44580,1.319,244.5,P,0.632,90.4,P,1.683,166.6,P,0.597,73,P,1.842,518.2,P,0.681,217.9,P,2.53698886960687
246993_at,At5g67450,1.301,79.1,P,0.441,20.7,P,1.482,48.1,P,0.699,28,P,1.403,129.4,P,0.554,58.1,P,2.5342586757446
265228_s_at,At2g07698,2.015,247.6,P,0.796,75.4,P,1.161,76.2,P,0.514,41.6,P,2.35,438.1,P,0.839,177.7,P,2.53037180502656
258323_at,At3g22750,1.351,143,P,0.502,41,A,1.523,86.1,P,0.635,44.3,A,1.612,259,P,0.649,118.6,P,2.52449384003121
248172_at,At5g54660,1.367,81.8,P,0.596,27.5,P,1.643,52.5,P,0.632,24.9,A,1.688,153.2,P,0.633,65.3,P,2.5199914573481
259015_at,At3g07350,1.644,623.9,P,0.638,186.6,P,1.376,278.8,P,0.573,143.3,P,1.362,784.4,P,0.528,345.9,P,2.5192480409803
247549_at,At5g61420,1.451,291.9,P,0.557,86.5,P,1.622,174.2,P,0.621,82.3,P,1.379,421,P,0.596,206.9,P,2.51023386111132
266761_at,At2g47130,1.904,91.9,P,0.776,28.9,P,1.405,36.2,P,0.604,19.2,P,1.224,89.6,P,0.446,37.1,P,2.50805393555137
264929_at,At1g60730,1.677,57.1,P,0.548,14.4,A,1.21,22,P,0.512,11.5,A,1.638,84.6,P,0.79,46.4,P,2.49897264987373
266910_at,At2g45920,1.491,105.5,P,0.544,29.7,A,1.347,50.9,P,0.648,30.2,A,1.744,187.2,P,0.653,79.7,P,2.4967543033605
260375_at,At1g73950,1.895,100.5,P,0.78,31.9,P,1.208,34.2,P,0.455,15.9,P,1.87,150.5,P,0.792,72.5,P,2.48184778184778
254417_at,At4g21470,1.593,603.3,P,0.574,167.6,P,1.316,266.1,P,0.637,158.9,A,1.73,994,P,0.684,446.6,P,2.45681171868592
251906_at,At3g53720,1.609,171.8,P,0.627,51.6,P,1.224,69.8,P,0.472,33.2,P,1.707,276.4,P,0.776,142.8,P,2.45305026826381
252504_at,At3g46590,1.304,418,P,0.549,135.6,P,1.631,279.1,P,0.696,146.9,P,1.42,690.2,P,0.54,298.7,P,2.44941604031014
266167_at,At2g38860,1.347,343.6,P,0.653,128.5,P,1.358,185,P,0.519,87.2,P,1.519,588,P,0.57,250.7,P,2.44808991484959
261900_at,At1g80940,1.682,217.5,P,0.691,68.9,P,1.309,90.4,P,0.62,52.8,P,1.875,367.9,P,0.691,154.1,P,2.41963415962529
256236_at,At3g12350,1.721,306.4,P,0.658,90.4,P,1.336,127,P,0.597,70.1,P,1.592,430.1,P,0.664,204,P,2.41698260920043
253163_at,At4g35750,1.76,1896.300,P,0.677,562.8,P,1.302,748.9,P,0.61,433.3,P,1.732,2831.7,P,0.698,1297.7,P,2.40516872223317
256376_s_at,At1g66690,1.469,119.9,P,0.574,36.1,P,1.239,54,P,0.502,27,P,1.631,201.9,P,0.761,107.1,P,2.39019784273876
247519_at,At5g61430,1.25,43.3,P,0.416,11.1,A,1.498,27.7,P,0.727,16.6,A,1.572,82.6,P,0.75,44.8,A,2.38711012943957
266617_at,At2g29670,1.372,1004.700,P,0.667,376.8,P,1.333,521.1,P,0.585,282.5,P,1.801,2000.2,P,0.653,824.4,P,2.36454793636938
266326_at,At2g46650,1.242,701.6,P,0.516,225,P,1.754,529.1,P,0.758,282.2,P,1.645,1409.7,P,0.755,735.7,P,2.29992295335712
251695_at,At3g56585,1.455,151.6,P,0.579,46.5,P,1.222,68,P,0.585,40.2,P,1.688,266.8,P,0.778,139.8,P,2.25716935551106
256779_at,At3g13784,1.477,49.5,P,0.712,18.4,P,1.676,30,P,0.688,15.2,P,1.288,65.5,P,0.573,33.1,P,2.2527677376675
250343_at,At5g11900,1.287,245.7,P,0.621,91.5,P,1.409,143.7,P,0.676,85.1,P,1.81,524.4,P,0.713,235,P,2.2317842399027
264366_at,At1g03250,1.336,179.7,P,0.59,61.2,P,1.393,100,P,0.664,58.8,P,1.365,278.5,P,0.591,137,P,2.22398100532561
267053_s_at,At2g38390,1.878,749,P,0.894,274.9,P,1.427,303.7,P,0.636,167,P,1.106,669,P,0.481,330.8,P,2.2145860440466
248612_at,At5g49530,1.23,146,P,0.562,51.4,P,1.414,89.6,P,0.689,53.9,P,1.835,330.3,P,0.77,157.5,P,2.20799287330544
263438_at,At2g28660,1.745,238,P,0.87,91.5,P,1.13,82.3,P,0.51,45.8,P,1.317,272.5,P,0.55,129.4,P,2.20532628516401
253534_at,At4g31500,1.221,828.7,P,0.564,295.5,P,1.158,419.8,P,0.492,219.9,P,1.727,1778.400,P,0.842,985.5,P,2.18987367907236
247812_at,At5g58390,1.294,408.1,P,0.568,138.3,P,1.404,236.5,P,0.64,133.1,P,1.454,696.1,P,0.706,384.4,P,2.17713636635678
264668_at,At1g09780,1.265,1594,P,0.601,583.8,P,1.686,1133.7,P,0.799,663.2,P,1.201,2295.100,P,0.537,1166.300,P,2.15048734405759
250813_at,At5g05000,1.474,436.3,P,0.657,149.9,P,1.344,212.4,P,0.646,126,P,1.343,603.3,P,0.638,325.6,P,2.14301407748455
248492_at,At5g51040,1.476,583,P,0.669,203.6,P,1.615,340.5,P,0.768,199.8,P,1.232,738,P,0.6,408.4,P,2.12082531452417
263153_s_at,At1g54010,1.326,669.3,P,0.651,253.4,P,1.455,391.9,P,0.674,224,P,1.398,1069.800,P,0.673,585.4,P,2.09096201396663
266587_at,At2g14880,0.847,153,P,1.759,245.2,P,0.882,85.1,P,1.925,229.2,P,0.55,150.8,P,1.118,348.5,P,0.477218440562307
255791_at,At2g33430,0.636,248.3,P,1.426,429.5,P,0.707,147.3,P,1.42,365.4,P,0.615,364.4,P,1.293,871,P,0.473176060012278
261301_at,At1g48570,0.667,83.8,P,1.402,135.8,P,0.82,55,P,1.659,137.3,P,0.512,97.6,P,1.18,255.5,P,0.467973631338408
251008_at,At5g02710,0.6,55.2,P,1.295,91.9,P,0.68,33.4,P,1.429,86.7,P,0.705,98.5,P,1.592,252.8,P,0.460672300709172
251130_at,At5g01180,0.553,12,A,1.207,20.2,P,0.647,7.5,A,1.476,21.1,P,0.793,26.1,P,1.651,61.8,P,0.458940857726374
251639_at,At3g57560,0.683,173.6,P,1.547,303.5,P,0.72,97.8,P,1.617,271,P,0.61,235.4,P,1.28,561.4,P,0.454443731163794
247347_at,At5g63780,0.599,135.9,P,1.353,236.8,P,0.778,94.2,P,1.727,258.2,P,0.572,196.9,P,1.222,478.4,P,0.45376572370117
249466_at,At5g39740,0.611,569.5,P,1.273,914.9,P,0.727,362.1,P,1.507,926,P,0.501,708.7,P,1.3,2090.4,P,0.449256196123531
252876_at,At4g39970,0.598,260.8,P,1.519,511.1,P,0.783,182.4,P,1.599,459.6,P,0.556,367.9,P,1.217,915.4,P,0.446740745752932
247654_at,At5g59850,0.555,621.6,P,1.213,1047.5,P,0.787,470.3,P,1.658,1222.800,P,0.508,862.1,P,1.247,2408.600,P,0.446529754215645
245399_at,At4g17340,0.572,300.2,P,1.313,531.4,P,0.553,154.8,P,1.36,470.1,P,0.687,546.4,P,1.39,1257.5,P,0.445501938577269
253286_at,At4g34260,0.651,112.7,P,1.319,176.2,P,0.681,63,P,1.464,167.1,P,0.516,135.5,P,1.382,413,P,0.444030527735444
257756_at,At3g18680,0.585,218.7,P,1.232,354.9,P,0.768,153.2,P,1.636,402.7,P,0.506,286.5,P,1.341,863.7,P,0.440535221878037
266279_at,At2g29290,0.735,272.7,P,1.666,476.6,P,0.709,140.4,P,1.537,375.7,P,0.528,297.3,P,1.265,809.2,P,0.439951999582894
258034_at,At3g21300,0.428,19.5,A,1.264,44.4,P,0.736,17.9,P,1.506,45.2,P,0.656,45.3,A,1.356,106.5,P,0.437031741845086
266357_at,At2g32290,0.553,14.1,P,1.23,24.2,M,0.719,9.8,P,1.44,24.2,P,0.77,29.8,A,2.132,93.8,P,0.436687426169134
246074_at,At5g20130,0.67,147.1,P,1.446,244.8,P,0.67,78.5,P,1.586,229.4,P,0.564,187.9,P,1.33,503.6,P,0.43661790700696
265779_at,At2g07370,0.73,36,P,1.503,57.2,P,0.619,16.3,P,1.27,41.3,P,0.587,43.9,P,1.87,159.1,P,0.429000198077699
253440_at,At4g32570,0.521,87,P,1.333,171.7,P,0.74,66,P,1.511,166.3,P,0.51,129.1,P,1.26,362.9,P,0.428450503158707
262622_at,At1g06510,0.659,55.5,P,1.547,100.4,P,0.648,29.1,P,1.626,90.2,P,0.614,78.4,P,1.341,194.6,P,0.4274590091344
263131_at,At1g78630,0.684,1166.900,P,1.538,2025,P,0.843,768.4,P,1.795,2018.5,P,0.421,1088.900,P,1.157,3405.5,P,0.42608112866919
248704_at,At5g48450,0.682,31.1,P,1.552,54.6,P,0.661,16.1,A,1.803,54.2,P,0.619,42.8,A,1.318,103.7,P,0.425231726527768
246745_at,At5g27770,0.649,406.1,P,1.426,688.3,P,0.718,239.9,P,1.736,715.6,P,0.519,492.8,P,1.282,1383.400,P,0.424516626026692
263902_at,At2g36230,0.661,34.4,P,1.339,53.7,P,0.645,17.9,P,1.681,57.6,P,0.564,44.5,P,1.432,128.5,P,0.423735635385808
246088_at,At5g20600,0.527,38.8,P,1.311,74.4,P,0.689,27.1,P,1.455,70.6,P,0.648,72.4,P,1.66,210.7,P,0.421961394533445
252625_at,At3g44750,0.592,149.9,P,1.251,244.3,P,0.749,101.3,P,1.743,290.9,P,0.456,175,P,1.303,568.9,P,0.4176339751261
